file,metadata_creation_datetime,metadata_source,image_time,image_percentage
IMG_2815.PNG,2026-05-14 08:05:12,EXIF:DateTimeOriginal,08:05,15.6%
IMG_2822.PNG,2026-05-17 07:19:16,EXIF:DateTimeOriginal,07:19,11.6%
IMG_2824.PNG,2026-05-21 06:54:41,EXIF:DateTimeOriginal,06:54,9.9%
IMG_2859.PNG,2026-05-23 08:31:09,EXIF:DateTimeOriginal,08:31,17.9%
IMG_2901.PNG,2026-05-28 07:59:33,EXIF:DateTimeOriginal,07:59,15.0%
IMG_2909.PNG,2026-05-30 10:34:02,EXIF:DateTimeOriginal,10:34,27.7%
IMG_2919.PNG,2026-05-31 08:13:03,EXIF:DateTimeOriginal,08:13,16.2%
IMG_2933.PNG,2026-06-04 06:53:18,EXIF:DateTimeOriginal,05:36,9.8%
IMG_2936.PNG,2026-06-06 10:30:10,EXIF:DateTimeOriginal,10:30,27.5%
IMG_2940.PNG,2026-06-07 09:17:18,EXIF:DateTimeOriginal,09:17,21.8%
IMG_2945.PNG,2026-06-08 06:38:47,EXIF:DateTimeOriginal,06:38,9.0%
IMG_2962.PNG,2026-06-13 06:47:31,EXIF:DateTimeOriginal,06:47,9.5%
IMG_2973.PNG,2026-06-14 07:17:23,EXIF:DateTimeOriginal,07:17,11.5%
IMG_2988.PNG,2026-06-18 07:25:57,EXIF:DateTimeOriginal,07:25,12.1%
IMG_2990.PNG,2026-06-20 07:45:08,EXIF:DateTimeOriginal,07:45,13.8%
IMG_3001.PNG,2026-06-25 07:14:02,EXIF:DateTimeOriginal,07:14,11.2%
IMG_3044.PNG,2026-06-29 07:30:33,EXIF:DateTimeOriginal,07:30,12.5%
IMG_3048.PNG,2026-07-02 07:13:22,EXIF:DateTimeOriginal,07:13,11.2%
IMG_3049.PNG,2026-07-04 07:15:22,EXIF:DateTimeOriginal,07:15,11.3%
IMG_3053.PNG,2026-07-05 07:12:56,EXIF:DateTimeOriginal,07:12,11.1%
IMG_3060.PNG,2026-07-06 06:37:44,EXIF:DateTimeOriginal,06:37,8.9%
IMG_3068.PNG,2026-07-11 07:34:49,EXIF:DateTimeOriginal,07:34,12.8%
IMG_3074.PNG,2026-07-13 07:54:32,EXIF:DateTimeOriginal,07:54,14.6%
IMG_3125.PNG,2026-07-18 10:18:05,EXIF:DateTimeOriginal,10:18,26.5%
IMG_3132.PNG,2026-07-19 11:13:50,EXIF:DateTimeOriginal,11:13,30.5%
IMG_3207.PNG,2026-07-25 09:41:31,EXIF:DateTimeOriginal,09:41,23.8%
IMG_3256 2.PNG,2026-07-30 07:17:07,EXIF:DateTimeOriginal,07:17,11.5%
IMG_3763.PNG,2022-12-16 09:44:38,EXIF:DateTimeOriginal,09:44,76.0%
IMG_3772.PNG,2022-12-17 08:33:28,EXIF:DateTimeOriginal,08:33,81.9%
IMG_3778.PNG,2022-12-18 09:08:39,EXIF:DateTimeOriginal,09:08,78.9%
IMG_3782.PNG,2022-12-19 07:07:38,EXIF:DateTimeOriginal,07:07,89.3%
IMG_3794.PNG,2022-12-20 10:54:22,EXIF:DateTimeOriginal,10:54,70.8%
IMG_3796.jpg,2022-12-21 08:42:22,EXIF:DateTimeOriginal,08:42,81.1%
IMG_3805.jpg,2022-12-23 09:46:38,EXIF:DateTimeOriginal,09:46,75.8%
IMG_3814.jpg,2022-12-28 11:30:34,EXIF:DateTimeOriginal,11:30,68.3%
IMG_3826.PNG,2022-12-30 10:27:18,EXIF:DateTimeOriginal,10:27,72.7%
IMG_3859.PNG,2023-01-01 00:47:41,EXIF:DateTimeOriginal,00:47,96.5%
IMG_3861.PNG,2023-01-02 05:54:09,EXIF:DateTimeOriginal,05:54,92.7%
IMG_3894.PNG,2023-01-10 04:53:57,EXIF:DateTimeOriginal,04:53,93.7%
IMG_3900.PNG,2023-01-12 07:26:14,EXIF:DateTimeOriginal,07:26,87.9%
IMG_3906.PNG,2023-01-15 05:28:26,EXIF:DateTimeOriginal,05:28,93.3%
IMG_3916.PNG,2023-01-19 07:57:30,EXIF:DateTimeOriginal,07:57,85.1%
IMG_3919.PNG,2023-01-20 07:18:25,EXIF:DateTimeOriginal,07:18,88.4%
IMG_3944.PNG,2023-01-28 00:30:54,EXIF:DateTimeOriginal,03:04,97.2%
IMG_3976.PNG,2023-02-05 10:29:14,EXIF:DateTimeOriginal,10:29,72.6%
